CALENDAR_YEAR,LOCATION_ID,AGE_GROUP_PUBLIC,COUNTY,EXPERIENCING_HOMELESSNESS_CNT,geo_point
2017,CA-601,45-54,San Diego,2056,"33.028186394, -116.770204664"
2017,CA-601,55-64,San Diego,2149,"33.028186394, -116.770204664"
2017,CA-601,65+,San Diego,578,"33.028186394, -116.770204664"
2017,CA-601,Invalid,San Diego,13,"33.028186394, -116.770204664"
2017,CA-601,Under 18,San Diego,2815,"33.028186394, -116.770204664"
2017,CA-601,Unknown,San Diego,22,"33.028186394, -116.770204664"
2017,CA-602,18-24,Orange,586,"33.6769134328, -117.776142822"
2017,CA-602,25-34,Orange,1231,"33.6769134328, -117.776142822"
2017,CA-602,35-44,Orange,1183,"33.6769134328, -117.776142822"
2017,CA-602,45-54,Orange,1244,"33.6769134328, -117.776142822"
2017,CA-602,55-64,Orange,1077,"33.6769134328, -117.776142822"
2017,CA-602,65+,Orange,511,"33.6769134328, -117.776142822"
2017,CA-602,Invalid,Orange,13,"33.6769134328, -117.776142822"
2017,CA-602,Under 18,Orange,2854,"33.6769134328, -117.776142822"
2017,CA-602,Unknown,Orange,1824,"33.6769134328, -117.776142822"
2017,CA-603,18-24,Santa Barbara,186,"34.5383440862, -120.030786183"
2017,CA-603,25-34,Santa Barbara,506,"34.5383440862, -120.030786183"
2017,CA-603,35-44,Santa Barbara,448,"34.5383440862, -120.030786183"
2017,CA-603,45-54,Santa Barbara,492,"34.5383440862, -120.030786183"
2017,CA-603,55-64,Santa Barbara,467,"34.5383440862, -120.030786183"
2017,CA-603,65+,Santa Barbara,185,"34.5383440862, -120.030786183"
2017,CA-603,Invalid,Santa Barbara,NULL,"34.5383440862, -120.030786183"
2017,CA-603,Under 18,Santa Barbara,545,"34.5383440862, -120.030786183"
2017,CA-603,Unknown,Santa Barbara,NULL,"34.5383440862, -120.030786183"
2017,CA-604,18-24,Kern,369,"35.3428473738, -118.729900424"
2017,CA-604,25-34,Kern,657,"35.3428473738, -118.729900424"
2017,CA-604,35-44,Kern,527,"35.3428473738, -118.729900424"
2017,CA-604,45-54,Kern,505,"35.3428473738, -118.729900424"
2017,CA-604,55-64,Kern,343,"35.3428473738, -118.729900424"
2017,CA-604,65+,Kern,109,"35.3428473738, -118.729900424"
2017,CA-604,Invalid,Kern,NULL,"35.3428473738, -118.729900424"
2017,CA-604,Under 18,Kern,1753,"35.3428473738, -118.729900424"
2017,CA-604,Unknown,Kern,NULL,"35.3428473738, -118.729900424"
2017,CA-606,18-24,Long Beach (Los Angeles),150,NULL
2017,CA-606,25-34,Long Beach (Los Angeles),367,NULL
2017,CA-606,35-44,Long Beach (Los Angeles),306,NULL
2017,CA-606,45-54,Long Beach (Los Angeles),437,NULL
2017,CA-606,55-64,Long Beach (Los Angeles),483,NULL
2017,CA-606,65+,Long Beach (Los Angeles),169,NULL
2017,CA-606,Invalid,Long Beach (Los Angeles),NULL,NULL
2017,CA-606,Under 18,Long Beach (Los Angeles),751,NULL
2017,CA-607,18-24,Pasadena (Los Angeles),96,NULL
2017,CA-607,25-34,Pasadena (Los Angeles),169,NULL
2017,CA-607,35-44,Pasadena (Los Angeles),272,NULL
2017,CA-607,45-54,Pasadena (Los Angeles),234,NULL
2017,CA-607,55-64,Pasadena (Los Angeles),198,NULL
2017,CA-607,65+,Pasadena (Los Angeles),100,NULL
2017,CA-607,Under 18,Pasadena (Los Angeles),312,NULL
2017,CA-607,Unknown,Pasadena (Los Angeles),NULL,NULL
2017,CA-608,18-24,Riverside,675,"33.7436800499, -115.993845895"
2017,CA-608,25-34,Riverside,1057,"33.7436800499, -115.993845895"
2017,CA-608,35-44,Riverside,991,"33.7436800499, -115.993845895"
2017,CA-608,45-54,Riverside,1076,"33.7436800499, -115.993845895"
2017,CA-608,55-64,Riverside,843,"33.7436800499, -115.993845895"
2017,CA-608,65+,Riverside,263,"33.7436800499, -115.993845895"
2017,CA-608,Under 18,Riverside,1616,"33.7436800499, -115.993845895"
2017,CA-608,Unknown,Riverside,88,"33.7436800499, -115.993845895"
2017,CA-609,18-24,San Bernardino,614,"34.8414378315, -116.17846142"
